City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Constitución,0,CL,1595628518,72,-35.33,-72.42,48.29,5.48
Faanui,0,PF,1595628532,77,-16.48,-151.75,77.38,20.54
Sahuaripa,58,MX,1595628620,50,29.05,-109.23,88.72,5.93
Huarmey,39,PE,1595628564,73,-10.07,-78.15,65.84,12.8
Ambilobe,88,MG,1595628620,55,-13.2,49.05,70.84,4.72
Lumatil,99,PH,1595628620,71,5.87,124.89,80.19,3.42
Cherskiy,15,RU,1595628523,56,68.75,161.3,72.34,1.7
Chigasaki,90,JP,1595628620,100,35.33,139.4,75.99,3.36
Port Macquarie,90,AU,1595628433,100,-31.43,152.92,51.01,2.24
Pangnirtung,90,CA,1595628620,81,66.15,-65.71,50.0,5.82
Namikupa,10,TZ,1595628621,82,-10.83,39.6,64.13,3.29
Olinda,40,BR,1595628552,83,-8.01,-34.86,75.2,10.29
Umluj,2,SA,1595628566,56,25.02,37.27,85.84,8.32
Lata,0,PT,1595628544,93,40.16,-8.33,66.99,8.99
Ruthin,98,GB,1595628621,90,53.11,-3.32,62.01,3.0
Gainesville,20,US,1595628621,52,29.65,-82.32,93.0,12.75
Amapá,100,BR,1595628621,98,1.0,-52.0,73.9,2.53
Paciran,100,ID,1595628621,84,-6.88,112.38,72.41,8.93
Tegul'det,99,RU,1595628621,96,57.31,88.17,51.66,3.98
Coquimbo,0,CL,1595628520,67,-29.95,-71.34,57.2,12.75
Bud,75,US,1595628622,54,39.45,-86.18,84.0,4.45
Ribeira Grande,0,PT,1595628550,72,38.52,-28.7,70.41,7.52
Ovalle,0,CL,1595628566,41,-30.6,-71.2,57.81,3.06
Shache,79,CN,1595628515,24,38.42,77.24,74.16,4.23
Isabela,40,PH,1595628622,94,6.71,121.97,75.2,2.24
Popondetta,0,PG,1595628622,78,-8.75,148.25,77.67,1.7
Dalaba,99,GN,1595628622,100,10.7,-12.25,63.61,4.5
Lázaro Cárdenas,65,MX,1595628547,66,17.96,-102.2,85.77,8.14
Rabo de Peixe,75,PT,1595628622,73,37.8,-25.58,69.8,2.24
Kikwit,48,CD,1595628623,32,-5.04,18.82,77.58,1.21
Tura,100,IN,1595628511,95,25.52,90.22,73.87,4.07
Province of Mantua,100,IT,1595628623,89,45.17,10.78,66.99,1.01
Kropotkin,71,RU,1595628623,46,45.44,40.58,69.19,11.48
Waingapu,29,ID,1595628623,80,-9.66,120.26,69.39,8.81
Haines Junction,96,CA,1595628278,48,60.75,-137.51,61.54,9.22
Sakakah,0,SA,1595628542,12,29.97,40.21,93.2,6.93
Ogulin,75,HR,1595628623,94,45.27,15.23,68.0,3.36
Painesville,1,US,1595628623,65,41.72,-81.25,81.0,5.82
Fuyang,100,CN,1595628624,94,32.9,115.82,65.77,0.76
Vila do Maio,75,CV,1595628624,78,15.13,-23.22,80.6,11.41
Nosy Varika,38,MG,1595628624,79,-20.58,48.53,64.67,8.95
Byron Bay,75,AU,1595628624,93,-28.65,153.62,60.8,5.82
Ayan,3,RU,1595628624,73,56.45,138.17,54.81,1.12
Iqaluit,75,CA,1595628522,81,63.75,-68.51,48.2,4.7
North Battleford,1,CA,1595628624,56,52.78,-108.28,73.99,11.41
Monrovia,75,LR,1595628624,94,6.3,-10.8,77.0,13.31
Strezhevoy,26,RU,1595628624,81,60.73,77.59,50.0,6.71
Bonavista,100,CA,1595628625,97,48.65,-53.11,56.8,6.24
Lavrentiya,99,RU,1595628562,69,65.58,-171.0,48.42,5.14
Gander,75,CA,1595628625,82,48.97,-54.59,68.0,3.36
Sambava,88,MG,1595628625,73,-14.27,50.17,69.89,17.6
Mehamn,18,NO,1595628625,93,71.04,27.85,55.4,4.7
La Palma,1,US,1595628625,50,33.85,-118.05,82.0,10.29
Vestmannaeyjar,17,IS,1595628517,73,63.44,-20.27,51.46,4.45
Gorlice,100,PL,1595628625,99,49.66,21.16,64.99,4.23
Kavieng,37,PG,1595628525,75,-2.57,150.8,84.13,15.19
Ambon City,40,ID,1595628625,83,-3.7,128.18,78.8,3.36
Cidreira,100,BR,1595628511,81,-30.18,-50.21,64.09,2.64
Conde,40,BR,1595628626,83,-7.26,-34.91,75.2,10.29
Lékoni,67,GA,1595628626,60,-1.58,14.26,78.4,6.96
Gigmoto,94,PH,1595628626,76,13.78,124.39,80.91,0.43
Malpe,75,IN,1595628626,94,13.35,74.72,75.2,3.36
Bushehr,74,IR,1595628626,61,28.97,50.84,89.76,3.94
Antofagasta,20,CL,1595628237,71,-23.65,-70.4,57.2,23.04
Fukuechō,79,JP,1595628626,80,32.69,128.84,74.7,20.09
Chapleau,40,CA,1595628627,44,47.84,-83.4,80.6,11.41
Port Hawkesbury,1,CA,1595628627,77,45.62,-61.35,72.0,8.05
Sibolga,75,ID,1595628426,74,1.74,98.78,76.41,3.4
Grajaú,45,BR,1595628627,45,-5.82,-46.14,81.23,3.94
Sola,40,VU,1595628545,88,-13.88,167.55,80.6,11.41
Mount Isa,0,AU,1595628508,66,-20.73,139.5,50.0,5.82
Pemberton,48,CA,1595628627,41,50.32,-122.8,71.04,6.31
Biak,30,ID,1595628627,81,-0.91,122.88,75.79,6.93
Hay River,90,CA,1595628627,76,60.82,-115.8,57.2,11.41
Venice,20,US,1595628552,70,27.1,-82.45,87.01,9.17
Pierre,20,US,1595628391,41,44.37,-100.35,96.8,17.22
Along,100,IN,1595628628,89,28.17,94.77,73.51,0.45
Mogadishu,56,SO,1595628554,76,2.04,45.34,77.07,22.1
Stromness,91,GB,1595628628,93,58.97,-3.3,55.4,14.99
Prince Rupert,90,CA,1595628503,87,54.32,-130.32,59.0,4.7
Dobryanka,97,RU,1595628628,100,58.46,56.42,55.4,2.24
Garmsār,98,IR,1595628628,18,35.22,52.34,92.14,11.68
Itacoatiara,41,BR,1595628629,61,-3.14,-58.44,83.41,0.83
Santa Rita,42,BR,1595628629,83,-7.11,-34.98,75.2,10.29
Rantepao,70,ID,1595628629,86,-2.97,119.9,63.84,1.3
Beira,75,MZ,1595628559,88,-19.84,34.84,66.2,14.99
Amga,50,RU,1595628629,57,60.9,131.96,69.49,5.21
Tuatapere,100,NZ,1595628629,85,-46.13,167.68,46.6,6.67
Havre-St-Pierre,75,CA,1595628629,72,50.23,-63.6,66.2,19.46
Nemuro,84,JP,1595628630,89,43.32,145.57,57.51,9.66
Şuletea,40,RO,1595628630,68,46.28,27.9,66.36,7.9
Bereket,4,TM,1595628630,25,39.24,55.52,91.27,7.61
Kieta,100,PG,1595628531,78,-6.22,155.63,82.17,6.85
Praia da Vitória,20,PT,1595628531,68,38.73,-27.07,71.6,3.44
Sovetskiy,84,RU,1595628521,68,61.36,63.58,52.7,5.28
Otjiwarongo,0,NA,1595628630,46,-20.46,16.65,50.77,11.59
Vikulovo,15,RU,1595628630,92,56.82,70.61,52.03,5.37
Lubango,0,AO,1595628630,43,-14.92,13.49,53.71,3.65
Tarnalelesz,100,HU,1595628631,93,48.05,20.18,61.86,4.25
Mwanza,20,TZ,1595628631,73,-2.52,32.9,75.2,5.82
Mackay,90,AU,1595628569,93,-21.15,149.2,64.0,6.93
Cutro,0,IT,1595628631,61,39.04,16.98,77.0,2.24
Letpadan,81,MM,1595628631,84,17.78,95.75,78.08,0.78
Lahijan,40,IR,1595628631,88,37.21,50.0,78.8,2.24
La Ronge,75,CA,1595628631,57,55.1,-105.28,77.0,13.87
Mitsamiouli,51,KM,1595628632,66,-11.38,43.28,77.23,7.45
Kanniyākumāri,100,IN,1595628632,83,8.08,77.57,79.23,12.86
Qaqortoq,97,GL,1595628632,71,60.72,-46.03,55.4,6.93
Isangel,75,VU,1595628518,83,-19.55,169.27,77.0,12.75
Lysyye Gory,0,RU,1595628632,73,51.55,44.84,54.91,4.59
Balabac,100,PH,1595628532,78,7.99,117.06,79.61,2.75
Qinhuangdao,93,CN,1595628632,60,39.93,119.59,75.43,3.51
Bad Aussee,94,AT,1595628632,84,47.61,13.78,61.0,4.0
Kumul,0,CN,1595628633,36,42.8,93.45,75.78,5.26
Shingū,100,JP,1595628633,95,33.73,135.98,75.18,5.68
Kachug,100,RU,1595628633,87,53.96,105.88,55.56,4.63
Pacific Grove,75,US,1595628535,68,36.62,-121.92,64.4,12.75
Shizunai-furukawachō,100,JP,1595628633,91,42.33,142.37,65.14,7.63
Aykhal,100,RU,1595628633,71,66.0,111.5,57.2,6.71
Khovd,0,MN,1595628527,57,48.01,91.64,64.04,1.92
Cabo San Lucas,5,MX,1595628633,58,22.89,-109.91,93.0,14.99
Xinqing,5,CN,1595628633,86,48.23,129.5,65.86,3.31
Khromtau,0,KZ,1595628633,87,50.25,58.43,60.46,9.28
Poya,42,NC,1595628634,72,-21.35,165.15,75.51,6.87
Santo Antônio do Içá,45,BR,1595628634,80,-3.1,-67.94,80.56,2.39
Kalmunai,100,LK,1595628634,79,7.42,81.82,80.04,4.97
Lenger,0,KZ,1595628634,56,42.18,69.88,71.6,4.47
Harper,77,LR,1595628546,85,4.38,-7.72,75.56,10.42
Simpang,70,ID,1595628634,98,-1.27,104.08,72.9,2.68
Coyhaique,90,CL,1595628534,84,-45.58,-72.07,41.0,4.7
Eyl,91,SO,1595628548,67,7.98,49.82,77.38,25.1
Kayes,40,ML,1595628635,89,14.0,-11.0,86.0,4.7
Cherdyn',11,RU,1595628635,76,60.4,56.48,52.86,3.22
Oodweyne,6,SO,1595628635,60,9.41,45.06,71.24,15.05
Verkhov'ye,0,RU,1595628635,90,52.81,37.24,52.0,2.1
Bukama,0,CD,1595628635,35,-9.2,25.85,65.97,1.54
Barra do Bugres,27,BR,1595628635,34,-15.07,-57.18,84.31,3.11
Srednekolymsk,65,RU,1595628635,32,67.45,153.68,82.45,6.71
San Vicente,73,AR,1595628547,72,-26.62,-54.13,65.34,1.45
Arlit,61,NE,1595628502,44,18.74,7.39,87.98,14.65
Sioux Lookout,75,CA,1595628457,58,50.1,-91.92,87.8,13.87
Guasdualito,75,VE,1595628636,94,7.24,-70.73,77.0,6.93
São Bernardo,14,BR,1595628636,77,-3.36,-42.42,77.32,4.79
Lüshunkou,89,CN,1595628636,73,38.8,121.27,69.8,4.47
Lamu,13,KE,1595628637,75,-2.27,40.9,76.15,23.11
Grindavik,20,IS,1595628637,70,63.84,-22.43,46.4,23.04
Anloga,20,GH,1595628637,88,5.79,0.9,75.2,9.17
Tabou,83,CI,1595628501,85,4.42,-7.35,75.6,9.46
Padang,99,ID,1595628638,78,-0.95,100.35,77.31,5.48
Baykit,89,RU,1595628638,89,61.67,96.37,51.75,3.83
Borba,68,BR,1595628638,62,-4.39,-59.59,83.46,0.63
Sabha,0,LY,1595628638,21,27.04,14.43,81.54,9.24
Pindiga,96,NG,1595628638,93,9.98,10.93,72.39,5.08
Torrington,100,US,1595628638,68,41.8,-73.12,82.0,1.07
Lodja,10,CD,1595628638,63,-3.48,23.43,73.31,1.16
Vanimo,92,PG,1595628567,79,-2.67,141.3,79.63,5.48
Tommot,87,RU,1595628638,91,58.96,126.29,62.62,2.26
Nuuk,75,GL,1595628587,71,64.18,-51.72,55.4,4.7
Klyuchi,2,RU,1595628534,95,52.27,79.17,59.65,3.02
